country,championate,title,date,result,book,home_open_odds,home_close_odds,draw_open_odds,draw_close_odds,away_open_odds,away_close_odds
France,Ligue 2 2018/2019,Chateauroux - Niort,"Friday, 19 Apr 2019, 18:00",2:1,Marathonbet,2.16,1.89,3.1,3.38,3.8,4.45
France,Ligue 2 2018/2019,Chateauroux - Niort,"Friday, 19 Apr 2019, 18:00",2:1,Pinnacle,2.42,1.93,2.91,3.49,3.43,4.39
England,Championship 2011/2012,Birmingham - Ipswich,"Wednesday, 11 Jan 2012, 20:45",2:1,Pinnacle,1.56,1.53,4.23,4.26,6.68,7.57
Turkey,PTT 1. Lig 2012/2013,Samsunspor - Adana Demirspor,"Sunday, 12 May 2013, 13:30",1:1,Marathonbet,2.85,4.05,3.25,3.8,2.5,1.82
Germany,3. Liga 2011/2012,Offenbach - Sandhausen,"Wednesday, 03 Aug 2011, 18:00",2:0,Pinnacle,2.14,2.19,3.46,3.55,3.66,3.46
Russia,Premier League 2015/2016,FK Anzi Makhackala - Kuban,"Sunday, 24 Apr 2016, 16:30",1:0,Marathonbet,2.82,2.57,3.38,3.32,2.7,3.02
Russia,Premier League 2015/2016,FK Anzi Makhackala - Kuban,"Sunday, 24 Apr 2016, 16:30",1:0,Pinnacle,2.51,2.51,3.23,3.32,3.15,3.08
Czech Republic,1. Liga 2016/2017,Sparta Prague - Slavia Prague,"Sunday, 25 Sep 2016, 13:30",0:2,Marathonbet,1.75,1.51,3.7,4.5,5.3,6.6
Czech Republic,1. Liga 2016/2017,Sparta Prague - Slavia Prague,"Sunday, 25 Sep 2016, 13:30",0:2,Pinnacle,1.53,1.52,4.43,4.53,6.82,6.91
Portugal,LigaPro 2016/2017,Benfica B - Sporting B,"Friday, 16 Dec 2016, 18:00",0:0,Marathonbet,2.3,1.87,3.4,3.8,3.32,4.3
Portugal,LigaPro 2016/2017,Benfica B - Sporting B,"Friday, 16 Dec 2016, 18:00",0:0,Pinnacle,1.96,1.84,3.49,3.59,4.27,4.79
South Korea,K League 1 2019,Daegu - Suwon Bluewings,"Tuesday, 30 Jul 2019, 10:30",0:2,Asianodds,2.38,2.3,3.3,3.33,2.65,3.4
South Korea,K League 1 2019,Daegu - Suwon Bluewings,"Tuesday, 30 Jul 2019, 10:30",0:2,Marathonbet,2.61,2.26,3.26,3.35,2.78,3.24
South Korea,K League 1 2019,Daegu - Suwon Bluewings,"Tuesday, 30 Jul 2019, 10:30",0:2,Pinnacle,2.56,2.3,3.29,3.33,2.89,3.28
Spain,LaLiga 2017/2018,Sevilla - Leganes,"Saturday, 28 Oct 2017, 20:30",2:1,Asianodds,1.43,1.68,4.0,4.04,6.6,6.01
Spain,LaLiga 2017/2018,Sevilla - Leganes,"Saturday, 28 Oct 2017, 20:30",2:1,Marathonbet,1.42,1.69,5.0,3.9,9.0,6.0
Spain,LaLiga 2017/2018,Sevilla - Leganes,"Saturday, 28 Oct 2017, 20:30",2:1,Pinnacle,1.54,1.71,4.26,3.93,6.86,5.57
