country,championate,title,date,result,book,home_open_odds,home_close_odds,draw_open_odds,draw_close_odds,away_open_odds,away_close_odds
Russia,Premier League 2013/2014,Akhmat Grozny - Tomsk,"Sunday, 08 Dec 2013, 13:30",2:0,Marathonbet,1.88,1.67,3.5,3.8,5.1,6.4
Russia,Premier League 2013/2014,Akhmat Grozny - Tomsk,"Sunday, 08 Dec 2013, 13:30",2:0,Pinnacle,1.87,1.72,3.4,3.6,4.97,6.05
Poland,Ekstraklasa 2011/2012,Lechia Gdansk - Legia,"Thursday, 03 May 2012, 17:00",1:0,Pinnacle,4.17,5.09,3.28,3.55,2.06,1.83
Scotland,Premiership 2019/2020,Motherwell - St. Mirren,"Tuesday, 25 Feb 2020, 19:45",1:2,Asianodds,1.85,2.2,3.02,3.33,3.38,3.64
Scotland,Premiership 2019/2020,Motherwell - St. Mirren,"Tuesday, 25 Feb 2020, 19:45",1:2,Marathonbet,1.99,2.14,3.44,3.2,3.9,3.7
Scotland,Premiership 2019/2020,Motherwell - St. Mirren,"Tuesday, 25 Feb 2020, 19:45",1:2,Pinnacle,2.02,2.18,3.48,3.33,4.01,3.64
Denmark,Superliga 2012/2013,Aalborg - Aarhus,"Monday, 03 Dec 2012, 19:30",0:3,Marathonbet,2.0,2.38,3.55,3.4,4.09,3.2
Denmark,Superliga 2012/2013,Aalborg - Aarhus,"Monday, 03 Dec 2012, 19:30",0:3,Pinnacle,2.0,2.39,3.64,3.3,3.92,3.29
Argentina,Superliga 2018/2019,Godoy Cruz - Lanus,"Friday, 25 Jan 2019, 22:00",0:2,Asianodds,2.21,2.32,3.1,3.14,3.1,3.58
Argentina,Superliga 2018/2019,Godoy Cruz - Lanus,"Friday, 25 Jan 2019, 22:00",0:2,Marathonbet,1.73,2.26,3.5,3.08,5.4,3.54
Argentina,Superliga 2018/2019,Godoy Cruz - Lanus,"Friday, 25 Jan 2019, 22:00",0:2,Pinnacle,2.25,2.31,3.12,3.14,3.66,3.58
Scotland,Premiership 2016/2017,Aberdeen - Partick Thistle,"Saturday, 04 Feb 2017, 15:00",2:0,Marathonbet,1.57,1.57,4.2,4.4,6.5,6.1
Scotland,Premiership 2016/2017,Aberdeen - Partick Thistle,"Saturday, 04 Feb 2017, 15:00",2:0,Pinnacle,1.59,1.56,4.15,4.28,6.2,6.62
Turkey,Super Lig 2013/2014,Bursaspor - Fenerbahce,"Saturday, 02 Nov 2013, 18:00",2:3,Marathonbet,3.1,3.2,3.4,3.4,2.35,2.3
Turkey,Super Lig 2013/2014,Bursaspor - Fenerbahce,"Saturday, 02 Nov 2013, 18:00",2:3,Pinnacle,3.1,3.2,3.44,3.56,2.4,2.32
Scotland,Championship 2015/2016,Alloa - St. Mirren,"Saturday, 19 Dec 2015, 15:00",0:2,Marathonbet,3.6,5.0,3.72,3.98,2.07,1.73
Scotland,Championship 2015/2016,Alloa - St. Mirren,"Saturday, 19 Dec 2015, 15:00",0:2,Pinnacle,4.87,4.79,3.75,3.78,1.79,1.79
Turkey,Super Lig 2015/2016,Kasimpasa - Fenerbahce,"Sunday, 13 Sep 2015, 18:00",0:1,Marathonbet,3.8,3.9,3.6,4.0,2.06,1.92
Turkey,Super Lig 2015/2016,Kasimpasa - Fenerbahce,"Sunday, 13 Sep 2015, 18:00",0:1,Pinnacle,3.62,3.69,3.62,3.72,2.09,2.06
South Korea,K League 1 2019,Seongnam - Daegu,"Sunday, 06 Oct 2019, 05:00",1:2,Asianodds,3.79,3.85,3.18,3.05,2.16,2.26
South Korea,K League 1 2019,Seongnam - Daegu,"Sunday, 06 Oct 2019, 05:00",1:2,Marathonbet,3.7,3.52,3.32,3.16,2.09,2.23
South Korea,K League 1 2019,Seongnam - Daegu,"Sunday, 06 Oct 2019, 05:00",1:2,Pinnacle,3.79,3.82,3.18,3.01,2.16,2.24
South Korea,K-League 2011,Pohang - Ulsan Hyundai,"Saturday, 23 Apr 2011, 07:00",2:0,Pinnacle,1.96,2.06,3.48,3.4,4.11,3.83
Croatia,1. HNL 2016/2017,Slaven Belupo - Osijek,"Sunday, 12 Mar 2017, 16:00",1:2,Marathonbet,2.35,2.2,3.3,3.22,3.2,3.58
Croatia,1. HNL 2016/2017,Slaven Belupo - Osijek,"Sunday, 12 Mar 2017, 16:00",1:2,Pinnacle,2.3,2.22,3.17,3.29,3.52,3.57
Germany,2. Bundesliga 2011/2012,Dusseldorf - Eintracht Frankfurt,"Monday, 13 Feb 2012, 20:15",1:1,Pinnacle,2.49,2.52,3.43,3.3,3.01,3.13
France,Ligue 1 2011/2012,Dijon - Bordeaux,"Saturday, 19 Nov 2011, 19:00",2:0,Pinnacle,3.28,3.54,3.19,3.2,2.46,2.35
Germany,2. Bundesliga 2018/2019,Hamburger SV - Greuther Furth,"Monday, 04 Mar 2019, 19:30",1:0,Asianodds,1.64,1.42,3.81,4.6,5.84,8.8
